Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,Här har du en gammalvals,https://musescore.com/user/26911315/scores/12416644,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Jens Book Jenssen,https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1936,,,,,,,Ahlins Musikförlag,,100,
,Kompassen pekar nu åter mot nord,https://musescore.com/user/26911315/scores/7038388,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Roland (Levin),https://no.wikipedia.org/wiki/Roland_Levin,1911 - 2003,,1945,,,,,,,,,,
,På en resa från Hongkong till Hull,https://musescore.com/user/26911315/scores/11584252,"Ahlin, Ernfrid",https://sv.wikipedia.org/wiki/Ernfrid_Ahlin,1904 - 1969,,Roland (Levin),https://no.wikipedia.org/wiki/Roland_Levin,1911 - 2003,,1935,,,,,,,Ahlins Musikförlag,,54,
,Trekkspillguttenes parade,https://musescore.com/user/26911315/scores/11559451,"Akre, Ottar E.",https://no.wikipedia.org/wiki/Ottar_E._Akre,1896 - 1992,,,,,,1937,,,,,,,Carl M. Iversen,,1001,
,Stormy Weather,https://musescore.com/user/26911315/scores/17339959,"Arlen, Harold",https://en.wikipedia.org/wiki/Harold_Arlen,1904 - 1986,,"Koehler, Ted",https://en.wikipedia.org/wiki/Ted_Koehler,1894 - 1973,,1933,,Omtale,https://en.wikipedia.org/wiki/Stormy_Weather_(song),,,,,,,
,Lillegutt og Far,,Alf Ordon (Alf Johnsen),,,,Alf Ordon,,,,,,,,,,,Eget forlag,,,
x,Gutten som har vaska sig,https://musescore.com/user/26911315/scores/7015328,Alf Peaters & Ernst Rolf,,,,"Bø, Finn",https://no.wikipedia.org/wiki/Finn_Bø,1893 - 1962,,1925,,,,,,,,,,
,Stjerneglimt,https://musescore.com/user/26911315/scores/7201212,"Allan Stensvold
Laurie Mackenzie",,"1909? - 1975
1902 - 1962",,Frithjof Granli,https://lokalhistoriewiki.no/wiki/Frithjof_Granli,1905 - 1965,,1942,,,,,,,,,,
,Bondevalsen,https://musescore.com/user/26911315/scores/5957832,"Alm, Anna",,1880 - 1935,,J. Arnulf,,,,1929,,(Ernst) Rolf Revyen,,,,,,,,
,Bryllupstoner,https://musescore.com/user/26911315/scores/7109798,"Alm, Anna",,1880 - 1935,,,,,,1929,,,,,,,,,,
,Lykke til,https://musescore.com/user/26911315/scores/25255516,"Alm, Anna",,1880 - 1935,,"Alm, Anna",,1880 - 1935,,ca 1930,,,,,,,,,,
,Ole Lukkeøye,https://musescore.com/user/26911315/scores/7045385,"Almqvist, Ingrid",https://sv.wikipedia.org/wiki/Ingrid_Almquist,1915 - 1993,,"Almqvist, Ingrid",https://sv.wikipedia.org/wiki/Ingrid_Almquist,1915 - 1993,,1951,,,,,,2,Musikkhuset A/S,,1077,
,Symfoni,https://musescore.com/user/26911315/scores/6350286,"Alstone, Alex",,1903 - 1982,,Roger Bernstein & Andre Tabet,,,,1937,,,,,,,Norsk Schlager Forlag,,1,
,Lille Tornerose sover,https://musescore.com/user/26911315/scores/7008616,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Gunnar Kaspersen,https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,,,,,,,,Musikk-huset,,327,
,Din barndoms eventyr,https://musescore.com/user/26911315/scores/7099222,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Alf Pröysen og Asbjörn Toms (1915 - 1990),,,,1959,,"Fra operetten ""Tingel-Tangel i natt""",,Asbjørn Toms,https://no.wikipedia.org/wiki/Asbjørn_Toms,,Musikk-huset,,1666,
,Smil,https://musescore.com/user/26911315/scores/7397012,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Steinar Jøraandstad,https://no.wikipedia.org/wiki/Steinar_Jøraandstad,1903 - 1946,,1927,,,,,,,Norsk Musikforlag,,6199,
x,Leketøiparaden,https://musescore.com/user/26911315/scores/7044790,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Gunnar Kaspersen,https://no.wikipedia.org/wiki/Gunnar_Kaspersen,1907 - 1991,,,,,,,,,Norsk Musikforlag,,7212,
x,Jeg vil vite hvem jeg er,https://musescore.com/user/26911315/scores/7034822,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Einar Schibbye,https://no.wikipedia.org/wiki/Einar_Schibbye,1900 - 1959,,1958,,,,,,,,,,
,Skomværvalsen,https://musescore.com/user/26911315/scores/7107685,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,Erik Bye,https://no.wikipedia.org/wiki/Erik_Bye,1926 - 2004,,,,,,,,,,,,
,Som duft av røde roser,https://musescore.com/user/26911315/scores/11482219,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,"Audunson, Torgeir",,1913 - 1984,,1938,,1 premie Norsk Musikforlag og A-magasinets Slagerkonkurranse,,,,,Norsk Musikforlag ,,7209,
,Sønnavindvalsen,https://musescore.com/user/26911315/scores/7093221,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,"Prøysen, Alf",https://no.wikipedia.org/wiki/Alf_Prøysen,1914 - 1970,,1951,,,,,,,,,,
,Tango for to,https://musescore.com/user/26911315/scores/7093274,"Amdahl, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Amdahl,1903 - 1968,,"Prøysen, Alf",https://no.wikipedia.org/wiki/Alf_Prøysen,1914 - 1970,,1940,,Tango for to,https://no.wikipedia.org/wiki/Tango_for_to,,,,,,,
,Sommargille,https://musescore.com/user/26911315/scores/7412381,"Anderson, Ivar",,,,Ragnar Äkerblom,,1877 - 1932,,1932,,,,,,,,,,
,Seiler one step,https://musescore.com/user/26911315/scores/7696259,"Anderson,Hjalmar",http://www.buekorpsgutten.no/Skanseguttarkiv/1984_skansemarsjen.htm,1865 - 1954,,Hjalmar Anderson,http://www.buekorpsgutten.no/Skanseguttarkiv/1984_skansemarsjen.htm,1865 - 1954,,1926,,,,,,,Eget forlag,,,
,Vinternatt,https://musescore.com/user/26911315/scores/7101602,Andres Molto (Garcia?),,(1903 - 1980)?,,T. Nesseral,,,,1948-49,,,,,,,Norsk Musikforlag,,7778,
,Hankø-trotten,https://musescore.com/user/26911315/scores/7039251,"Anghel Solvin (Ola Linge) (1885 - 1973)
Hjalmar Lindberg (1896 - 1970)",,,,Arne Svendsen,https://no.wikipedia.org/wiki/Arne_Svendsen,1884 - 1958,,1933,,Ola Linge,https://snl.no/Ola_Linge,Hjalmar Lindberg,http://www.paul-okkenhaug.no/4-orkester-og-korps/lyrisk%20dans-arr-for-salongorkester.pdf,,,,,
,Skogstjernen,https://musescore.com/user/26911315/scores/7083029,"Anker-Eriksen, Harald",https://www.nb.no/items/a3459198c538504db26fa2eb4b008fe6?page=1&searchText=%22Anker-Eriksen%22,1910 - 1994,https://www.nb.no/items/06563125a9240b8900baf201ed379c73?page=23&searchText=%22H.%20Anker-Eriksen%22,Birger Madsen,,,,1960,,Alder Harald Anker-Eriksen,https://www.nb.no/items/d34f060e82531b69d1be68453fb93b0d?page=113&searchText=%22Harald%20Anker-Eriksen%22,,,2,Musikk-huset,,1704,
,Zambezi,,Anto de Wall/ Nico Carstens,,,,Dick Rogers,,,,,,,,,,,,,,
,Syng senorita,,"Arnesen, Ulf B.",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=7&searchText=%22Ulf%20B.%20Arnesen%22,1908 - 1963,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1930,,Presto forlag,,,,,"Elkan & Schildknecht, Stockholm",,746,
,Stjerne du som blinker,https://musescore.com/user/26911315/scores/7631807,"Arnesen, Ulf B.",https://www.nb.no/items/806c59276f43e36a681db0e6c5937c7f?page=7&searchText=%22Ulf%20B.%20Arnesen%22,1908 - 1963,,Torgeir Audonson,,1913 - 1984,https://www.nb.no/items/6f932659f7ad41a7c56b50d65feae829?page=35&searchText=%22Torgeir%20Audunson%22,1938,,2nen premie i Norsk Musikforlag og A-Magasinets konkurranse,,,,,Norsk Musikforlag,,7210,
,Det kommer rosor,https://musescore.com/user/26911315/scores/7440623,"Austin Egen
Franz Doelle",,"1897 - 1941
1883 - 1965",,S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,,1927,,,,,,,Ernst Rolf,,1717,
,Flying Saucer,https://musescore.com/user/26911315/scores/13540786,"Axis, John (Aas, Ernst)",,,,,,,,,,"""Hilsen kopmponisten"", Ernst.",,,,,,,,
,Lille Angi,https://musescore.com/user/26911315/scores/7044800,"Bakken, Arnt Svendsen",https://www.nb.no/items/d2a1c734de0dab16f8c3b30d0c6cf87c?page=1&searchText=%22a.s.%20Bakken%22,1882 - 1966,,"Bakken, Arnt Svendsen",https://www.nb.no/items/d2a1c734de0dab16f8c3b30d0c6cf87c?page=1&searchText=%22a.s.%20Bakken%22,1882 - 1966,,1933,,,,,,,Musikcentralen,,,
,Glem meg,https://musescore.com/user/26911315/scores/15346651,"Bauer-Nilsen, Trygve",https://www.nb.no/items/12f7c57bd6dc7ec151e7c32695f5e948?page=1&searchText=%22Trygve%20Bauer-Nilsen%22,1895 - 1960,,UNO,,,,1944,,,,,,,A/S Musikk's Forlag Haugesund,,,
,Godnatt,https://musescore.com/user/26911315/scores/7974920,"Bauer-Nilsen, Trygve",https://www.nb.no/items/12f7c57bd6dc7ec151e7c32695f5e948?page=1&searchText=%22Trygve%20Bauer-Nilsen%22,1895 - 1960,,Sander,,,,,,,,,,,,,,
,Høstløv,https://musescore.com/user/26911315/scores/7023899,"Bauer-Nilsen, Trygve",https://www.nb.no/items/12f7c57bd6dc7ec151e7c32695f5e948?page=1&searchText=%22Trygve%20Bauer-Nilsen%22,1895 - 1960,,Sander,,,,1945,,,,,,,,,,
,Lykkedrømme,https://musescore.com/user/26911315/scores/7044926,"Bauer-Nilsen, Trygve",https://www.nb.no/items/12f7c57bd6dc7ec151e7c32695f5e948?page=1&searchText=%22Trygve%20Bauer-Nilsen%22,1895 - 1960,,UNO,,,,1942,,,,,,,A/S Musikk's Forlag Haugesund,,,
x,Sigøiner romanse,https://musescore.com/user/26911315/scores/7081871,"Bauer-Nilsen, Trygve",https://www.nb.no/items/12f7c57bd6dc7ec151e7c32695f5e948?page=1&searchText=%22Trygve%20Bauer-Nilsen%22,1895 - 1960,,UNO,,,,,,Omtale,https://www.nb.no/items/7199682d10393896caa66586bfd93387?page=3&searchText=%22Sigøiner%20romanse%22,,,,,,,
,Hvor,,"Bendiksen, Arne",https://no.wikipedia.org/wiki/Arne_Bendiksen,1926 - 2009,,,,,,,,,,,,,,,,
,Byen sover,https://musescore.com/user/26911315/scores/10997419,"Berg, Andreas",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1941,,,,,,,Carl M. Iversen,,127,
,Lille Ann-Mari,https://musescore.com/user/26911315/scores/7044798,"Berg, Andreas",,,,Egil Hagen,https://no.wikipedia.org/wiki/Egil_Hagen_(1912–2004),1912 - 2004,,1955,,,,,,,Harld Lyche,,,
,Dovregubbens lørdagskveld,https://musescore.com/user/26911315/scores/11071063,"Berg, Trygve",,? - 1956?,,,,,,194x,,Mangler et noteark,,,,,Germania,,1,
,Katalonia,https://musescore.com/user/26911315/scores/7035857,"Berg, Trygve",,? - 1956?,,,,,,,,,,,,,,,,
,Kom og bli med ned til Hankø,https://musescore.com/user/26911315/scores/7401728,"Berg, Trygve",,? - 1956?,,Bias Bernhoft,https://no.wikipedia.org/wiki/Bias_Bernhoft,1902 - 1986,,1933,,,,,,,Carl M. Iversen,,,
,Vals elegant,https://musescore.com/user/26911315/scores/7097605,"Berg, Trygve",,? - 1956?,,,,,,1945,,"Publisert av ""Edition Luvån""",,,,2,Hermani,,149,
,Brevet fra deg,https://musescore.com/user/26911315/scores/7001734,"Bergh, Sverre (Frode Ring)",https://no.wikipedia.org/wiki/Sverre_Arvid_Bergh,1915 - 1980,,"Eidem, Odd (Frode Ring)",https://no.wikipedia.org/wiki/Odd_Eidem,1913 - 1988,,,,Moss Dagblad 20 januar 1968,https://www.nb.no/items/247470e702b097cb758e863377e254c2?page=3&searchText=%22Frode%20Ring%22,,,,,,,
,En rosedrøm,https://musescore.com/user/26911315/scores/7015023,"Bergh, Sverre",https://no.wikipedia.org/wiki/Sverre_Arvid_Bergh,1915 - 1980,,Andreas Aabel,https://no.wikipedia.org/wiki/Andreas_Aabel_(skuespiller),1911 - 1948,,1944,,,,,,,,,,
,"Tyven, tyven",https://musescore.com/user/26911315/scores/7097562,"Bergh, Sverre",https://no.wikipedia.org/wiki/Sverre_Arvid_Bergh,1915 - 1980,,,,,,,,,,,,,,,,
,Vuggende valsetakt,,"Bergh, Sverre",https://no.wikipedia.org/wiki/Sverre_Arvid_Bergh,1915 - 1980,,,,,,1944,,Mangler side 3 og 4!,,,,,Norsk Musikforlag,,7602,
,"Måke, fortell",https://musescore.com/user/26911315/scores/7045208,"Bergstrøm, Harry",https://en.wikipedia.org/wiki/Harry_Bergström,1910 - 1989,,"Jakob Hjelte (Hansen, Juul)",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1954?,,,,,,,Carl M. Iversen,,,
,Kanske engang tilbake du kommer,https://musescore.com/user/26911315/scores/7041608,"Bernhard, Willy",,1903 - 1976 ?,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1929,,,,,,,Norsk Musikforlag,,6530,
,Idealflickan,https://musescore.com/user/26911315/scores/22427881,"Berntsson, Hugo",,1898 - 1978,,,,,,1951,,,,,,,Kåre Korneliussens forlag,,41,
,Nå venter vi på det,https://musescore.com/user/26911315/scores/7439756,"Bias Bernhoft
Arne Feldborg",,"1902 - 1986
1912 - 1987",,"Bias Bernhoft
Arne Feldborg",,"1902 - 1986
1912 - 1987",,1943,,"Fra revyen ""Smilet går videre""",,,,,,,,
,Narrevise,https://musescore.com/user/26911315/scores/22290343,"Berulfsen, Bjarne",https://no.wikipedia.org/wiki/Bjarne_Berulfsen,1906 - 1970,,"Kristensen, Tom",https://biografiskleksikon.lex.dk/Tom_Kristensen,1893 - 1974,,1948,,Tom Kristensen var en dansk forfatter,,,,,Norks Musikforlag,,7839,
,Kalle Båtsmann fra Lillesand,https://musescore.com/user/26911315/scores/8095788,"Bjelland Juuhl, Harald",https://www.nb.no/items/1f5df77b7eb7bcac5eda87f956070675?page=1&searchText=%22Harald%20Bjelland%20Juuhl%22,1913 - 1992,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1961,,,,,,,Carl M. Iversen,,,
,Vårblomsten til mor,https://musescore.com/user/26911315/scores/7398083,"Bjelland Juuhl, Harald",https://www.nb.no/items/1f5df77b7eb7bcac5eda87f956070675?page=1&searchText=%22Harald%20Bjelland%20Juuhl%22,1913 - 1992,,"Bjelland Juuhl, Harald",https://www.nb.no/items/1f5df77b7eb7bcac5eda87f956070675?page=1&searchText=%22Harald%20Bjelland%20Juuhl%22,1913 - 1992,,1960,,"""Omtale""",https://www.nb.no/items/6df242f5f0458405f3652e66de370be9?page=3&searchText=%22vårblomsten%20til%20mor%22,,,,"Harald Lyche, Drammen",,,
,Rytmefantasi,https://musescore.com/user/26911315/scores/7064489,"Bjørklund, Odd Ursin",https://www.youtube.com/watch?v=yQsZeaet8rA,1925 – 2014,,,,,,1944,,,,,,2,,,,
,Civilization,https://musescore.com/user/26911315/scores/7005705,Bob Hillard & Carl Sigman,,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1947,,Civilization,https://en.wikipedia.org/wiki/Civilization_(Bob_Hilliard_and_Carl_Sigman_song),,,,,,,
,Det blir sommar och sol ...,https://musescore.com/user/26911315/scores/7311575,"Bode, Johnny",https://sv.wikipedia.org/wiki/Johnny_Bode,1912 - 1983,,Hans Ekman,https://sv.wikipedia.org/wiki/Hasse_Ekman,1915 - 2004,,1934,,,,,,,Ahlins musikførlag,,26,
,Go - on,https://musescore.com/user/26911315/scores/7661936,"Borg, Helge",https://nbl.snl.no/Oscar_Borg,1894 - 1965,,,,,,1918,,(Oscar Borgs sønn),,,,,Eget forlag,,4,
,Karneval,https://musescore.com/user/26911315/scores/9885706,"Borg, Helge",https://nbl.snl.no/Oscar_Borg,1894 - 1965,,,,,,1920,,,,,,,Norsk Musikforlag,,4922,
,Dreamery,,"Borg, Helge",https://nbl.snl.no/Oscar_Borg,1894 - 1965,,,,,,,,(Oscar Borgs sønn),,,,,,,,
,Den siste valsen,https://musescore.com/user/26911315/scores/7011951,"Borg, Victor",https://no.wikipedia.org/wiki/Victor_Borg,1916 - 1996,,"Borg, Victor",https://no.wikipedia.org/wiki/Victor_Borg,1916 - 1996,,1943,,,,,,,,,,
,Askim-sangen,https://musescore.com/user/26911315/scores/9993154,"Borgesen, Erling",,1909 - 1987,,"Thømt, Josva",,1891 - 1971,,1939,,Først fremført 1941?,,,,,,,,
,I vinden,https://musescore.com/user/26911315/scores/7039626,"Braarvig, Hans (""James"")",https://no.wikipedia.org/wiki/Hans_Braarvig,1905 - 1986,,Herman Wildenwey,https://no.wikipedia.org/wiki/Herman_Wildenvey,1885 - 1959,,1929,,1 premie Jazzmusikk-konkurransen 1929,,,,,,,,
,En lille skatt,,"Brink,  Edvard",https://sv.wikipedia.org/wiki/Edvard_Brink,1883 - 1970,,Alfred Kjerulf,https://da.wikipedia.org/wiki/Alfred_Kjerulf,1882 - 1938,,,,,,,,,,,,
x,Kanske danser Frøken Carlson lite Charleston,https://musescore.com/user/26911315/scores/11471200,"Brink,  Edvard",https://sv.wikipedia.org/wiki/Edvard_Brink,1883 - 1970,,Alfred Kjerulf,https://da.wikipedia.org/wiki/Alfred_Kjerulf,1882 - 1938,,1927,,,,,,,,,,
,Stompen min,https://musescore.com/user/26911315/scores/9276418,"Bruun-Lie, Per",,1914 - 1977,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1944,,,,,,,Norsk Musikforlag,,7298,
,Det er herlig å være sigøyner,https://musescore.com/user/26911315/scores/7011998,"Bruun-Lie, Per",,1914 - 1977,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,,,,,,,,,,,
,Edderkoppvalsen,https://musescore.com/user/26911315/scores/21318310,"Bruun-Lie, Per",,1914 - 1977,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,194x,,,,,,,Norsk Musikforlag,,7260,
,Eventyrnatt,https://musescore.com/user/26911315/scores/11646277,"Bråten, Birger",,1917 - 1977,https://www.nb.no/items/f8a9b714a881412d026e0d6324fbab53?page=7&searchText=%22Braaten%22,"Bråten, Birger",,1917 - 1977,https://www.nb.no/items/f8a9b714a881412d026e0d6324fbab53?page=7&searchText=%22Braaten%22,1947,,,,,,,"Harald Lyche, Drammen",,,
,Plainte,https://musescore.com/user/26911315/scores/7796903,"Bugge Olsen, Jens",,1895 - 1985,,,,,,1911,,,,,,,Haakon Zapffe,,1066,
,Anna Lovinda,https://musescore.com/user/26911315/scores/7102394,"Bye, Erik",https://no.wikipedia.org/wiki/Erik_Bye,1926 - 2004,,"Bye, Erik",https://no.wikipedia.org/wiki/Erik_Bye,1926 - 2004,,1960,,Anna Lovinda,https://no.wikipedia.org/wiki/Anna_Lovinda,,,,Norsk Musikkforlag,,8386,
,En Sørlandsvise,https://musescore.com/user/26911315/scores/22319161,"Bähncke, William",,1865 - 1928,,"Arnesen, Odd",,,,1923,,Publisert i Norge,,,,,Musikcentralens forlag,,,
,Op med humøret!,https://musescore.com/user/26911315/scores/8425820,"Bøyesen, Carl Christian (""Calle"")",https://www.rockipedia.no/artister/carl_christian_boyesen-13501/,1917 - 1999,,"Bøyesen, Carl Christian (""Calle"")",https://www.rockipedia.no/artister/carl_christian_boyesen-13501/,1917 - 1999,,<1940?,,,,,,,Eget forlag,,,
,Ingen kan kysse som du,,Carl Ekberg,,,,Carl Ekberg,,,,1925,,,,,,,,,,
,Lönseth-viser,,Carl Lönseth,https://www.steinkjerleksikonet.no/lonseth_carl,1888 - 1962,,Carl Lönseth,https://www.steinkjerleksikonet.no/lonseth_carl,1888 - 1962,,1930,,,,,,,,,,
,Under Syrinhækken,,Carl M. Winternitz,,,,Magnus Brostrup Landstad,https://www.dagen.no/Nyheter/Den_andre_M._B._Landstad-47188,1876 - 1956,,,,,,,,,,,,
,När klockarna tystnat,https://musescore.com/user/26911315/scores/14931301,"Carlberg, Bengt",,,,"Lidström, Ture",,,,1929,,,,,,,Edition Sylvain,,,
,Vær trofast min venn,https://musescore.com/user/26911315/scores/7102804,"Carlsen, Bjørn",,,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,,,,,,,2,Musikk-huset,,265,
,Jeg lengter hjem,https://musescore.com/user/26911315/scores/7029999,"Carlsen, Bjørn",,,,Bjørn Carlsen,,,,,,,,,,,,,,
,I brænding og veir,,"Carlsen, Carsten",https://no.wikipedia.org/wiki/Carsten_Carlsen,1892 - 1961,,,,,,,,,,,,,,,,
,Tango,https://musescore.com/user/26911315/scores/9603841,"Carlsen, Carsten",https://no.wikipedia.org/wiki/Carsten_Carlsen,1892 - 1961,,,,,,1926,https://www.nb.no/items/de67117571f854427deffaf1f5ae7687?page=3&searchText=%22Tango%20d%27amour%22,Olaf Larsen Chokoladefabrik,,,,,Oluf By,,,
